product_id,name,price,brand,short_description,sold_count,stock,average_rating,num_reviews
1,(4 màu) Xăng đan nam và nữ sport 3 quai mới 2025 - Dép sandal nam và nữ thời trang full size 35-36 đến 43-44,105.000₫,,"- Dép sandal thời trang nam chất liệu được làm bằng da và cao su 2 lớp chắc chắn , ko sợ thấm nước khi sử dụng
- Dép nam được sản xuất tại việt nam , với tiêu chí người việt dùng hàng việt
- Dép quai ngang nam đầy đủ size từ 38 đến 43
- Cam kết Hàng chuẩn VNXK xăng đan
xăng đan
saldan nam 
sandal nữ",10k+,CÒN HÀNG,4.6,390
2,"(Size 36-45) Sandal Đế Trấu Quai Chéo Chữ X Nam Nữ Unisex Thời Trang Công Sở, Đi Học, Đi Làm, Đi Biển, Du Lịch SoleMate",169.900₫,,"👣 DÉP ĐẾ TRẤU UNISEX THỜI TRANG - SANDAL QUAI CHÉO PHONG CÁCH BIRKEN | SOLEMATE
Sự lựa chọn hoàn hảo cho những ai yêu thích sự đơn giản, thoải mái và tinh tế trong từng bước chân.
Dép đế trấu SoleMate với thiết kế tối giản, hiện đại, phù hợp cho cả nam và nữ, dễ dàng phối đồ và sử dụng trong nhiều hoàn cảnh.
⸻
🔹 ĐIỂM NỔI BẬT:
• Thiết kế unisex quai ngang thời trang, năng động – phù hợp mọi độ tuổi.
• Form dép ôm chân vừa vặn, thoải mái – không lo tuột gót hay đau chân.
• Dễ dàng phối hợp với các trang phục như jeans, kaki, short, váy ngắn,…
⸻
🔸 CHẤT LIỆU CAO CẤP:
• Quai dép: Da PU lót nỉ mềm, thoáng khí – thấm hút mồ hôi, đi êm ái cả ngày dài.
• Đế trấu tự nhiên: Kết hợp gỗ, mùn cưa & nhựa cây – thân thiện môi trường & hỗ trợ định hình bàn chân.
• Lớp đế dưới EVA: Mềm nhẹ, đàn hồi tốt – giúp chống sốc, giảm áp lực khi di chuyển.
⸻
📌 THÔNG TIN SẢN PHẨM:
• Màu sắc: Đen / Trắng
• Kích cỡ:
• Nữ: 36 – 39
• Nam: 39 – 45 (có đủ size lớn – BIG SIZE)
• Thương hiệu: SoleMate
• Xuất xứ: Sản xuất tại Việt Nam
⸻
✅ CAM KẾT CHẤT LƯỢNG:
• Hình ảnh thật – sản phẩm đúng mô tả.
• Đổi size nếu không vừa.
• Hỗ trợ tận tình trước & sau khi mua hàng.
⸻
⚠️ LƯU Ý:
• Form dép hơi rộng so với size thông thường – nếu chân nhỏ/gầy nên chọn giảm 1 size.
• Vệ sinh bằng nước tẩy nhẹ, tránh ngâm lâu trong nước.
• Phơi khô sau khi đi mưa để giữ độ bền tối đa.
⸻
📏 BẢNG SIZE CHUẨN:
➡️ Vui lòng tham khảo bảng size ở phần hình ảnh sản phẩm để chọn size chính xác.
⸻
SoleMate – Dép đế trấu, mang là mê!
Gọn nhẹ – Êm chân – Phong cách – Bền bỉ theo thời gian.",1k+,CÒN HÀNG,5.0,199
3,AYUER Xăng đan Đi Biển Họa Tiết Rằn Ri Hàn Quốc Mới Cho Cặp Đôi,158.698₫,AYUER,"1. Hàng hóa của chúng tôi được vận chuyển từ nước ngoài. Thời gian vận chuyển khoảng 7-14 ngày, trừ trường hợp đặc biệt.
2. Sau khi hàng hóa được gửi đi, bạn vui lòng chú ý đến tình trạng của gói hàng của mình, và sẽ không chấp nhận đơn xin hủy gói hàng ngẫu nhiên.
3. Thời gian trực tuyến của dịch vụ khách hàng từ 9:00 sáng đến 11:00 tối
===================================================
Lưu ý kích thước:
★ Kích thước giày của chúng tôi là kích thước Trung Quốc, không phải kích thước EU / US / BR, vì vậy vui lòng chọn kích thước của bạn theo chiều dài bàn chân của bạn.
Thông thường, chiều dài bên trong của giày dài hơn 1~1,5cm so với chiều dài bàn chân, phù hợp với
Ví dụ: nếu chiều dài bàn chân của bạn (Cánh ngón chân đến ngón chân) là 230mm, vui lòng chọn cỡ giày CN36 trong mẫu này.
★Nếu kích thước của bạn giữa hai kích thước:
1.Vui lòng chọn kích thước nhỏ hơn nếu bàn chân của bạn mỏng và hẹp
2.Vui lòng chọn kích thước lớn hơn nếu bàn chân của bạn rộng và dày
★Kích thước giày CN36 Phù hợp với chiều dài chân 230mm
★Kích thước giày CN37 Phù hợp với chiều dài chân 235mm
★Kích thước giày CN38 Phù hợp với chiều dài chân 245mm
★Kích thước giày CN39 Phù hợp với chiều dài chân 250mm
★Kích thước giày CN40 Phù hợp với chiều dài chân 255mm
★Kích thước giày CN41 Phù hợp với chiều dài chân 260mm
★Kích thước giày CN42 Phù hợp với chiều dài chân 265mm
★Kích thước giày CN43 Phù hợp với chiều dài chân 270mm
★Kích thước giày CN44 Phù hợp với chiều dài chân 275mm
★Kích thước giày CN45 Phù hợp với chiều dài chân 280mm
#Cầu trượt #Giày #Koreanshoes #Dép #Whiteshoes #Giày thạch #Beachsandals #Nhà #Hàn Quốc #Dép xăng đan #Birthdaygift #Dép xỏ ngón",2k+,CÒN HÀNG,4.8,672
4,Dép Đế Trấu Birken BIOLINE Official Hai Quai Ngang Lót PU Chống Nước Unisex Nam Nữ BIOLINE - PUK01,168.000₫,Bioline,"🔹 CHẤT LIỆU SẢN PHẨM :
Cấu tạo của dép đế trấu da bò gồm 4 phần:
- QUAI TRÊN: Được làm từ Da Pu Công Nghiệp Cao Cấp , dày dặn và bền đẹp
- MẶT LÓT DÉP: 
 Phiên bản chống nước (mặt đen+mặt kem): Được làm từ da PU, mềm mại. Đặc biệt khả năng chống nước, chống thấm mồ hôi chân vượt trội. 
- ĐẾ TRẤU: Được cấu tạo chủ yếu từ trấu và vỏ thân cây thân thiện với môi trường, có ưu điểm nhẹ, bền, thông thoáng, thấm hút mồ hôi chân cực tốt.
- LỚP ĐẾ: Cao su non ở dưới cùng, Nhẹ, mềm, đàn hổi tốt giúp giảm xung chấn khi di chuyển, có các rãnh chống trượt khi đi trên bề mặt trơn hoặc đi trong trời mưa
🔹 LƯU Ý:
- Dép có bảng size hơi rộng 1 xíu so với size trong nước. Nên các bạn nào chân nhỏ và ốm nên chọn lùi 1 size thì sẽ ôm chân và vừa vặn hơn.( Ví dụ : Các Bạn đang mang size 38 thì lùi xuống size 37 là vừa )
- Riêng size 35 và 36 giống Form Việt Nam nên các bạn giữ nguyên size là vừa
🔹DÉP BẢO VỆ SỨC KHỎE : vì được các nhà khoa học trên thế giới nghiên cứu thiết kế theo hình dáng lòng bàn chân, khi di chuyển cấu tạo của dép sẽ massage lòng bàn chân của con người làm giảm mỏi chân…
  🔹DÉP BẢO VỆ MÔI TRƯỜNG : đế dép được ép từ cao su thiên nhiên pha với tạp chất là xác thực vật như vỏ cây gỗ, vỏ hạt…tạo nên 1 kết cấu bền vững thân thiện với môi trường.
🔹CHÍNH SÁCH ĐỔI TRẢ - BẢO HÀNH 
- Shop HỖ TRỢ Đổi Mẫu - Đồi Màu - Đổi Size Tận Nhà cho Các Bạn khi có yêu cầu . Các Bạn chỉ cần ở nhà chờ Shop ship đôi mới đến tận nhà. Khi nhận được đôi mới Các Bạn đưa đôi cũ lại cho shipper là xong ạ.
- Khi có vấn đề gì không hài lòng về sản phẩm Các bạn hãy inbox ngay cho shop hỗ trợ nha. Đừng vội đánh giá Sao thấp vì Shop sẽ phục vụ các bạn hài lòng nhất có thể . 
- Bảo Hành : 6 tháng Chính Hãng Bioline
🔹 XUẤT XỨ - NGUỒN GỐC
- Thương hiệu : Bioline
- Sản Xuất tại : Việt Nam
#depquaingang #depquai #depdabo #depbirkenvietnam #depbirken
#depnam #depnu #depdetrau #birkenvietnam #giaysandal #depdetraunam #depdetraunu #depdetrau #depdetrauchinhhang #depdetrauvnxk #depdetrau2quai #depnuquaingang #depnuhot #depnudebang #depnamquaingang #depnamquaihau #depnamdep #depdetrautphcmhanoi #depbioline #depbirkenbioline",1k+,CÒN HÀNG,4.8,368
7,Dép đế trấu sục Sandal Boston nam nữ unisex quai ngang đi học công sở bigsize chính hãng Hishoo VNXK R111,314.000₫ - 366.000₫,Hishoo,"BẢNG THÔNG TIN SẢN PHẨM
Phân loại: Dép đế trấu / Birken
Giới tính: Nam/ Nữ
Độ cao: 2.5 - 3cm
Chất liệu quai: Da lộn nguyên tấm
Chất liệu đế: đế TPU
Phong cách: Cổ điển, tối giản
Dịp: Hằng ngày
Mùa thích hợp: Bốn mùa
Đôi dép đế trấu (dép birken ) của Hishoo là một sản phẩm độc đáo và tiên tiến với các tính năng và chất liệu tuyệt vời. Điểm đặc biệt của đôi dép đế trấu nam nữ là đế trấu được làm bằng vỏ trấu, một loại vật liệu bền bỉ và thân thiện với môi trường.
 CHI TIẾT SẢN PHẨM: 
- LỚP ĐẾ DƯỚI: được làm bằng Cao Su TPU, giúp đế dép có độ đàn hồi cao và bền bỉ hơn so với lớp xốp EVA truyền thống. Điều này giúp cho đôi dép của Hishoo có khả năng chịu đựng tốt hơn trong quá trình sử dụng. 
- ĐẾ TRẤU: Được sản xuất từ Vỏ Trấu và được kết hợp với keo để tạo ra một lớp đệm mềm mại và dẻo dai. Điều này giúp cho đôi dép của Hishoo có tính năng thoải mái và êm ái hơn so với các đôi dép khác trên thị trường. 
- MẶT LÓT DÉP: Được làm bằng chất liệu suede, một loại da bò lộn mềm mại và êm ái. Đây là vật liệu lý tưởng để làm lót dép vì tính năng thoáng khí và không gây chai chân. Khi đi dép đế trấu của Hishoo, bạn sẽ cảm thấy như đang đi trên những đám mây êm ái 
- QUAI DÉP: làm bằng chất liệu da bò Full gain leather/ PU hoặc suede cao cấp, giúp cho đôi dép của Hishoo trở nên sang trọng và đẳng cấp hơn. Khi bạn sử dụng đôi dép này, bạn sẽ không chỉ có được sự thoải mái và tiện lợi mà còn có thể tạo nên phong cách cá tính và thời trang cho bản thân.
 ẢNH SẢN PHẨM",226,CÒN HÀNG,4.9,58
8,"Dép Bánh Mì Nam Nữ YZ 3 Màu Basic Vân Nhám Đế Cao , Dép Thời Trang CV999",44.500₫ - 54.500₫,,"Dép Bánh Mì Nam Nữ YZ 3 Màu Basic Vân Nhám Đế Cao , Dép Thời Trang CV999
-Kích thước: 36-39 . Form bé tăng 1 Size
 -Hình dạng của mũi giày: hở
- Dép có form dáng chuẩn, ôm gọn đôi bàn chân
 - Phong cách Ulzzang dễ thương 
 - Êm chân, thoải mái
HƯỚNG DẪN BẢO QUẢN
- Vệ sinh bằng xà phòng thông thường (có thể sử dụng bàn chải).
- Sau khi vệ sinh xong để dép nơi khô ráo và tránh phơi trực tiếp dưới ánh nắng.
- Trong thời gian dài không mang, nên vệ sinh dép sạch sẽ và gói giày lại bằng giấy.
***Lưu ý: Màu sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.
Rất hân hạnh được phục vụ quý khách Cảm ơn quý khách đã mua hàng tại shop!
Quý khách hàng vui lòng liên hệ trực tiếp với shop để được giải quyết thắc mắc và vấn đề về sản phẩm (nếu có).
HÃY ĐÁNH GIÁ 5 SAO CHO SHOP NẾU BẠN HÀI LÒNG VỚI SẢN PHẨM VÀ DỊCH VỤ.
Rất hân hạnh được phục vụ quý khách Cảm ơn quý khách đã mua hàng tại shop!
Quý khách hàng vui lòng liên hệ trực tiếp với shop để được giải quyết thắc mắc và vấn đề về sản phẩm (nếu có).
HÃY ĐÁNH GIÁ 5 SAO CHO SHOP NẾU BẠN HÀI LÒNG VỚI SẢN PHẨM VÀ DỊCH VỤ.
#depnam #depnu #depquaingang #depbanhmi #depbanhmy #depduc #déphè #dépđibiển #dépthờitrang #dépquaingang #dépđếcao #déphànquốc #dépulzzang
#sandaldihoc #depsandal #deple #depkep #sandalthoitrang #sandalunisex #depdihoc   #giaydoi #giaysandalnu  #depsandalnam #depsandalnu ##giaynudep #depnudep  #depquaihaunu #giayquaihau #sandalnu",60k+,,4.8,"14,8k"
9,"Dép Bánh Mì Tăng Chiều Cao Nam Nữ THEWOLF R&E MULE SANDAL - Đen bóng, Đen suede, Nâu bò suede, Be, Nâu suede",1.200.000₫ - 1.350.000₫,The Wolf,"Dép Bánh Mì Tăng Chiều Cao Nam Nữ THEWOLF R&E MULE SANDAL
⊖Thông số kỹ thuật:
 ◒Thương hiệu: THEWOLF
 ◒Chất liệu: Da bò nhập khẩu
 ◒Lót trong: Vải canvas cao cấp
 ◒Đế giữa: PU cao cấp
 ◒Đế dưới: Chất liệu IP
 ◒Độ cao đế: 5.5cm
 ◒Màu sắc: Đen bóng, Đen suede, Nâu bò suede, Be, Nâu suede
 ◒Size: 36-37, 38-39, 40-41, 42-43, 44-45
⊖The Wolf cam kết:
 ◒Sản phẩm 100% giống như hình ảnh mô tả, tất cả được chụp thực tế để có trải nghiệm chân thực nhất
 ◒Sản phẩm fullbox .
 ◒Hàng luôn sẵn có, cam kết đóng gói đúng và đủ sản phẩm
 ◒Giao hàng toàn quốc
 ◒ĐIỀU KIỆN ĐỐI HÀNG
  ⦿Sản phẩm chưa có dấu hiệu đã qua sử dụng.
  ⦿Ngoại hình còn nguyên vẹn, không biến dạng.
⊖LƯU Ý KHI ĐỐI HÀNG
 ◒Khách hàng nên quay video khi unboxing để hỗ trợ khiếu nại đổi hàng.
 ◒Chỉ hỗ trợ đối sản phẩm cùng loại – không hỗ trợ đối mẫu sản phẩm khác.
 ◒Khách nên mang vớ khi thử sản phẩm để tránh các trường hợp sản phẩm bị biến dạng.
KOL & KHÁCH HÀNG FEEDBACK:
---------------------------------------------------------
CHÍNH SÁCH ĐỔI HÀNG
---------------------------------------------------------
VỀ THEWOLF:
Trong thời trang, sự bền vững luôn là yếu tố hàng đầu. Nó là cả một quá trình, từ việc bắt đầu tìm kiếm các nguồn cung cấp nguyên liệu cho đến việc tạo ra những sản phẩm tới tay khách hàng. Bằng cách tránh né cái quan điểm “thời trang nhanh gọn” và bắt tay tập trung vào những dây chuyền sản xuất sản phẩm một cách kĩ lưỡng đã giúp chúng tôi có thể tạo nên sự khác biệt.
#giaydanam #slidesandal #sandal #tangchieucao #depquaingang #giaydanu #giaychelseaboot #giayderby #giayluoi #loafer #thewolf #shopgiay #shopthoitrang #thewolfvn",3k+,CÒN HÀNG,4.9,684
10,Dép Birken đế trấu quai ngang 2 khoá nam nữ thời trang BIOLINE - PU01,167.998₫ - 168.000₫,,"🔹 CHẤT LIỆU SẢN PHẨM :
Cấu tạo của dép đế trấu da bò gồm 4 phần:
- QUAI TRÊN: Được làm từ Da PU mềm gần như da thật, dễ lau chùi và có độ bền cao hơn simili thông thường.
- MẶT LÓT DÉP: 
+ Phiên bản thường: Được làm từ da lộn sang trọng và tinh tế với thiết kế ôm khít từng chuyển động của lòng ban chân giúp giảm nhức, mỏi khi vận động, tăng tuần hoàn máu và cải thiện sức khỏe.
+ Phiên bản chống nước (mặt đen): Được làm từ da PU, mềm mại. Đặc biệt khả năng chống nước, chống thấm mồ hôi chân vượt trội.
- ĐẾ TRẤU: Được cấu tạo chủ yếu từ trấu và vỏ thân cây thân thiện với môi trường, có ưu điểm nhẹ, bền, thông thoáng, thấm hút mồ hôi chân cực tốt.
- LỚP ĐẾ: Cao su non ở dưới cùng, Nhẹ, mềm, đàn hổi tốt giúp giảm xung chấn khi di chuyển, có các rãnh chống trượt khi đi trên bề mặt trơn hoặc đi trong trời mưa
🔹 THÔNG TIN KIỂU DÁNG VÀ SIZE :
- Thiết kế: Hai Quai Ngang Có Khóa ( Điều chỉnh được Khóa cho ôm Chân )
- Size: Đủ size từ 35 - 44 cho cả Nam & Nữ
🔹 LƯU Ý:
- Dép có bảng size hơi rộng 1 xíu so với size trong nước. Nên các bạn nào chân nhỏ và ốm nên chọn lùi 1 size thì sẽ ôm chân và vừa vặn hơn.( Ví dụ : Các Bạn đang mang size 38 thì lùi xuống size 37 là vừa )
- Riêng size 35 và 36 giống Form Việt Nam nên các bạn giữ nguyên size là vừa
🔹DÉP BẢO VỆ SỨC KHỎE : vì được các nhà khoa học trên thế giới nghiên cứu thiết kế theo hình dáng lòng bàn chân, khi di chuyển cấu tạo của dép sẽ massage lòng bàn chân của con người làm giảm mỏi chân…
  🔹DÉP BẢO VỆ MÔI TRƯỜNG : đế dép được ép từ cao su thiên nhiên pha với tạp chất là xác thực vật như vỏ cây gỗ, vỏ hạt…tạo nên 1 kết cấu bền vững thân thiện với môi trường.
🔹CHÍNH SÁCH ĐỔI TRẢ
- Shop HỖ TRỢ Đổi Mẫu - Đồi Màu - Đổi Size Tận Nhà cho Các Bạn khi có yêu cầu . Các Bạn chỉ cần ở nhà chờ Shop ship đôi mới đến tận nhà. Khi nhận được đôi mới Các Bạn đưa đôi cũ lại cho shipper là xong ạ.
- Khi có vấn đề gì không hài lòng về sản phẩm Các bạn hãy inbox ngay cho shop hỗ trợ nha. Đừng vội đánh giá Sao thấp vì Shop sẽ phục vụ các bạn hài lòng nhất có thể . 
#depquaingang #depquai #depdabo #depbirkenvietnam #depbirken
#depnam #depnu #depdetrau #birkenvietnam #giaysandal #depdetraunam #depdetraunu #depdetrau #depdetrauchinhhang #depdetrauvnxk #depdetrau2quai #depnuquaingang #depnuhot #depnudebang #depnamquaingang #depnamquaihau #depnamdep #depdetrautphcmhanoi #depbioline #depbirkenbioline",3k+,CÒN HÀNG,4.8,688
11,Dép Nam Nữ Second Sunday Duston Clogs SL08,325.000₫,,,214,,4.8,43
12,Dép Nam Nữ Second Sunday One Star Slides SL18,224.000₫,,,2k+,,4.9,472
